date,hotel_id,rooms_available,rooms_sold,adr,cancellations,no_shows,upgrades,avg_length_of_stay,group_rooms_sold,corporate_rooms_sold,direct_rooms_sold,ota_rooms_sold,market_occ,market_adr,marketing_spend,ota_commission,payroll_cost,utility_cost,nps,review_score,rain_mm,event_flag,loyalty_signups,fnb_revenue
4/1/2025,1001,120,82,5323.3,7,0,0,1.39,18,28,21,15,0.7075,5469.72,16678.71,11735.24,216412.75,153637.78,38,4.1,6.8,0,2,46733.48
4/2/2025,1001,120,79,5383.05,3,0,1,1.41,17,27,22,13,0.6421,4929.93,25290.83,10314.45,228292.59,183659.24,77,3.7,6.6,0,1,45745.03
4/3/2025,1001,120,78,5081.75,6,0,4,1.81,14,32,22,10,0.628,5334.12,78363.05,6911.53,226869.62,64627.1,27,4.4,4.2,0,3,27150.89
4/4/2025,1001,120,99,5479.19,8,5,3,1.76,5,41,27,26,0.798,5376.28,25998.5,23042.32,165488.28,197503.57,18,4.2,1.9,0,0,54147.74
4/5/2025,1001,120,95,5400.64,9,1,6,1.52,13,34,10,38,0.7901,5376.07,51290.96,27710.99,374512.14,128143.9,34,4.1,0,0,3,38423.64
4/6/2025,1001,120,85,5114.32,1,0,1,1.33,11,33,16,25,0.6841,5146.73,30755.71,19583.91,229143.02,95868.97,66,3.7,8,0,4,38388.78
4/7/2025,1001,120,82,5098.35,5,0,1,1.77,12,26,21,23,0.7036,4737.16,58965.85,16965.61,155971.8,78584.36,51,4,1,0,5,26556.36
4/8/2025,1001,120,76,4979.02,0,2,6,1.87,12,29,19,16,0.6213,4828.16,13364.12,12665.56,366777.89,184135.25,38,4.3,7.7,0,2,30954.39
4/9/2025,1001,120,79,5142.08,5,1,2,2.03,12,18,25,24,0.6666,4890.6,44722.62,16739.52,300151.49,108767.12,28,3.8,6,0,3,27649.4
4/10/2025,1001,120,80,5370.93,6,5,2,1.33,14,17,4,45,0.6355,4907.72,48759.21,37739.34,175309.25,192467.24,42,4.5,3.2,1,3,52327.25
4/11/2025,1001,120,95,5083,5,3,2,1.66,12,25,10,48,0.7739,4883.64,61868.17,37643.88,319470.66,175190.65,44,3.9,0,0,6,47239.79
4/12/2025,1001,120,86,5350.8,3,3,1,2.22,13,18,16,39,0.7026,5104.94,41726.86,28296.57,128402.15,99166.89,36,4.2,1.9,0,4,27383.34
4/13/2025,1001,120,91,5420.13,3,0,2,1.63,27,30,24,10,0.7765,5493.64,26875.94,7732.96,173311.79,95201.94,72,4.6,0.1,0,7,60351.06
4/14/2025,1001,120,81,5116.12,5,1,1,1.81,14,38,19,10,0.6975,4957.02,63824.24,8724.28,137221.35,66420.58,54,4.1,3.8,0,3,46522.97
4/15/2025,1001,120,81,5002.29,1,3,2,2.06,13,18,12,38,0.6474,4863.09,45815.99,30654.8,160814.2,112820.04,47,4,6.5,0,1,31682.5
4/16/2025,1001,120,73,5146.36,5,1,1,2.04,14,11,14,34,0.6136,5001.94,61577.57,27130.44,265012.99,142114.96,43,4.7,1.6,0,4,57231.78
4/17/2025,1001,120,80,5272.1,4,0,1,1.74,10,32,21,17,0.6429,5145.12,32444.95,15767.02,274409.61,111692.27,43,4.3,5.2,0,3,61057.98
4/18/2025,1001,120,92,5453.51,7,0,1,2.16,20,26,23,23,0.7448,5426.59,32133.76,21884.16,272959.74,155617.49,31,3.8,4.6,1,7,37009.05
4/19/2025,1001,120,96,4984.92,7,0,2,1.72,17,13,25,41,0.7949,4938.03,47790.24,30685.3,246452.95,117253.72,36,4.3,9.8,0,2,60065.63
4/20/2025,1001,120,88,4967.7,4,2,2,1.74,15,24,17,32,0.7073,5094.99,31801.1,22243.97,179122.86,145105.22,45,3.7,3.4,0,2,36084.28
4/21/2025,1001,120,80,5224.44,8,1,0,1.63,14,33,18,15,0.6671,4846.55,31695.58,10812.68,223302.71,119750.45,39,3.8,6.6,1,6,34155.54
4/22/2025,1001,120,87,5143.91,5,1,4,1.66,16,35,20,16,0.7327,5185.68,79211.01,13853.06,276831.32,172959.02,55,4.5,0,0,4,50711.28
4/23/2025,1001,120,85,5241.78,8,0,0,2.07,15,39,19,12,0.7232,5034.12,55153.79,8371.01,229643.02,78518.67,31,4.3,0,0,4,40539.53
4/24/2025,1001,120,89,5531.53,6,0,2,2.1,22,34,28,5,0.7757,5307.49,19450.09,4902.18,245776.28,97787.57,34,4.2,11.7,0,9,28996.01
4/25/2025,1001,120,90,5587.93,6,2,3,2.17,13,20,34,23,0.7381,5130.15,23481.93,21059.84,149973.33,119046.77,52,3.2,5.6,1,3,35346.28
4/26/2025,1001,120,99,5098.44,5,0,8,1.76,14,25,21,39,0.8135,4988.2,10234.25,32596.98,241500.8,101580.4,34,3.9,5,0,1,48712.49
4/27/2025,1001,120,92,5061.2,5,0,0,1.95,23,48,23,0,0.7665,4752.65,44383.04,0,379047.3,185641.06,39,3.8,6.9,0,0,59602.86
4/28/2025,1001,120,80,4989.32,3,1,3,1.64,15,31,18,16,0.6727,4985.92,70514.5,12184.07,310816.58,132976.44,49,4.6,3.7,0,1,37057.34
4/29/2025,1001,120,77,4921.79,7,0,4,1.61,10,23,18,26,0.629,4443.22,68808.51,18674.73,221959.31,85129.63,39,3.9,7.6,0,1,29219.12
4/30/2025,1001,120,78,5471.26,9,2,0,1.75,19,30,15,14,0.6719,5112.94,70763.8,9795.32,370441.53,64382.32,27,4,2.1,0,3,41421.79
